KIND                    NAME
ClusterServiceVersion   serverless-operator.v1.29.0
ClusterServiceVersion   opendatahub-operator.v0.0.4
ClusterServiceVersion   openshift-pipelines-operator-rh.v1.11.0
ConfigMap               kube-root-ca.crt
ConfigMap               odh-enabled-applications-config
ConfigMap               etcd-scripts
ConfigMap               config-service-cabundle
ConfigMap               manager-config
ConfigMap               mesh-parameters
ConfigMap               model-serving-config-defaults
ConfigMap               modelmesh-controller-leader-lock
ConfigMap               notebook-controller-config
ConfigMap               notebooks-parameters
ConfigMap               odh-common-config
ConfigMap               dsg-prune-flag
ConfigMap               openshift-service-ca.crt
ConfigMap               data-science-pipelines-operator-dspo-parameters-mm6cd5894m
ConfigMap               data-science-pipelines-operator-dspo-config-kk9dk74bk6
ConfigMap               config-trusted-cabundle
Deployment              data-science-pipelines-operator-controller-manager
Deployment              etcd
Deployment              modelmesh-controller
Deployment              notebook-controller-deployment
Deployment              odh-dashboard
Deployment              odh-model-controller
Deployment              odh-notebook-controller-manager
EndpointSlice           data-science-pipelines-operator-service-bvvfw
EndpointSlice           odh-model-controller-metrics-service-qfkrp
EndpointSlice           odh-dashboard-tktsj
EndpointSlice           notebook-controller-service-bxss4
EndpointSlice           modelmesh-serving-v6lm7
EndpointSlice           modelmesh-controller-xl9jh
EndpointSlice           etcd-wvtzs
EndpointSlice           odh-notebook-controller-service-brzdd
EndpointSlice           odh-notebook-controller-webhook-service-4gb7z
Endpoints               odh-notebook-controller-webhook-service
Endpoints               odh-notebook-controller-service
Endpoints               odh-model-controller-metrics-service
Endpoints               odh-dashboard
Endpoints               notebook-controller-service
Endpoints               modelmesh-serving
Endpoints               modelmesh-controller
Endpoints               etcd
Endpoints               data-science-pipelines-operator-service
ImageStream             jupyter-minimal-notebook
ImageStream             jupyter-minimal-gpu-notebook
ImageStream             jupyter-datascience-notebook
ImageStream             s2i-lab-elyra
ImageStream             rstudio-notebook
ImageStream             code-server-notebook
ImageStream             rstudio-gpu-notebook
ImageStream             jupyter-trustyai-notebook
ImageStream             jupyter-tensorflow-notebook
ImageStream             jupyter-pytorch-notebook
ImageStreamTag          rstudio-notebook:2023.1
ImageStreamTag          jupyter-pytorch-notebook:2023.1
ImageStreamTag          jupyter-tensorflow-notebook:2023.1
ImageStreamTag          jupyter-trustyai-notebook:2023.1
ImageStreamTag          rstudio-gpu-notebook:2023.1
ImageStreamTag          s2i-lab-elyra:v0.2.1
ImageStreamTag          jupyter-pytorch-notebook:1.2
ImageStreamTag          jupyter-tensorflow-notebook:1.2
ImageStreamTag          code-server-notebook:2023.1
ImageStreamTag          jupyter-datascience-notebook:1.2
ImageStreamTag          jupyter-datascience-notebook:2023.1
ImageStreamTag          jupyter-minimal-gpu-notebook:1.2
ImageStreamTag          jupyter-minimal-gpu-notebook:2023.1
ImageStreamTag          jupyter-minimal-notebook:1.2
ImageStreamTag          jupyter-minimal-notebook:2023.1
ImageTag                jupyter-minimal-notebook:1.2
ImageTag                rstudio-notebook:2023.1
ImageTag                s2i-lab-elyra:v0.2.1
ImageTag                rstudio-gpu-notebook:2023.1
ImageTag                jupyter-trustyai-notebook:2023.1
