KIND                    NAME
ClusterServiceVersion   opendatahub-operator.v0.0.4
ClusterServiceVersion   serverless-operator.v1.29.0
ClusterServiceVersion   openshift-pipelines-operator-rh.v1.11.0
ConfigMap               odh-enabled-applications-config
ConfigMap               modelmesh-controller-leader-lock
ConfigMap               odh-common-config
ConfigMap               config-service-cabundle
ConfigMap               openshift-service-ca.crt
ConfigMap               kube-root-ca.crt
ConfigMap               dsg-prune-flag
ConfigMap               config-trusted-cabundle
EndpointSlice           modelmesh-serving-v6lm7
Endpoints               modelmesh-serving
Lease                   modelmesh-controller-leader-lock
Lease                   odh-model-controller
Lease                   f9eb95d5.opendatahub.io
NetworkPolicy           opendatahub
OdhDashboardConfig      odh-dashboard-config
RoleBinding             system:deployers
RoleBinding             opendatahub
RoleBinding             openshift-pipelines-edit
RoleBinding             pipelines-scc-rolebinding
RoleBinding             prometheus-ns-access
RoleBinding             system:image-builders
RoleBinding             prometheus-ns-access
RoleBinding             pipelines-scc-rolebinding
RoleBinding             openshift-pipelines-edit
RoleBinding             opendatahub
RoleBinding             system:image-builders
RoleBinding             system:deployers
RoleBinding             system:image-pullers
RoleBinding             system:image-pullers
Secret                  pipeline-token-kgtwk
Secret                  builder-token-vxblx
Secret                  deployer-token-n7tjb
Secret                  etcd-passwords
Secret                  model-serving-etcd
Secret                  model-serving-proxy-tls
Secret                  pipeline-dockercfg-ptmjl
Secret                  default-dockercfg-gc8x4
Secret                  deployer-dockercfg-w99qw
Secret                  default-token-vjfz7
Secret                  builder-dockercfg-vjfn4
Service                 modelmesh-serving
ServiceAccount          pipeline
ServiceAccount          deployer
ServiceAccount          default
ServiceAccount          builder
ServiceMonitor          modelmesh-metrics-monitor
