KIND                    NAME
ClusterServiceVersion   serverless-operator.v1.29.0
ClusterServiceVersion   opendatahub-operator.v0.0.4
ClusterServiceVersion   openshift-pipelines-operator-rh.v1.11.0
ConfigMap               kube-root-ca.crt
ConfigMap               odh-enabled-applications-config
ConfigMap               manager-config
ConfigMap               mesh-parameters
ConfigMap               model-serving-config-defaults
ConfigMap               modelmesh-controller-leader-lock
ConfigMap               odh-common-config
ConfigMap               config-service-cabundle
ConfigMap               openshift-service-ca.crt
ConfigMap               etcd-scripts
ConfigMap               dsg-prune-flag
ConfigMap               config-trusted-cabundle
Deployment              etcd
Deployment              modelmesh-controller
Deployment              odh-dashboard
Deployment              odh-model-controller
EndpointSlice           etcd-mxgbc
EndpointSlice           modelmesh-controller-frjls
EndpointSlice           modelmesh-serving-v6lm7
EndpointSlice           odh-dashboard-f2mkr
EndpointSlice           odh-model-controller-metrics-service-nvjwf
Endpoints               odh-model-controller-metrics-service
Endpoints               odh-dashboard
Endpoints               modelmesh-serving
Endpoints               modelmesh-controller
Endpoints               etcd
Lease                   odh-model-controller
Lease                   modelmesh-controller-leader-lock
Lease                   f9eb95d5.opendatahub.io
NetworkPolicy           etcd
NetworkPolicy           opendatahub
NetworkPolicy           modelmesh-controller
OdhApplication          jupyterhub
OdhApplication          jupyter
OdhDashboardConfig      odh-dashboard-config
OdhDocument             jupyterhub-install-python-packages
OdhDocument             jupyterhub-view-installed-packages
OdhDocument             jupyterhub-update-server-settings
OdhDocument             jupyterhub-use-s3-bucket-data
OdhQuickStart           create-jupyter-notebook
OdhQuickStart           deploy-python-model
Pod                     odh-model-controller-75765669fc-wqdm7
Pod                     etcd-6cf7c58f89-8xmpq
Pod                     modelmesh-controller-5588b58d79-4s6zw
Pod                     modelmesh-controller-5588b58d79-ghrnk
Pod                     modelmesh-controller-5588b58d79-jgp98
Pod                     odh-dashboard-58fb784664-cv8mv
Pod                     odh-dashboard-58fb784664-gm2rm
Pod                     odh-model-controller-75765669fc-f447s
Pod                     odh-model-controller-75765669fc-nztb8
PodMetrics              etcd-6cf7c58f89-8xmpq
PodMetrics              odh-dashboard-58fb784664-gm2rm
ReplicaSet              modelmesh-controller-5588b58d79
ReplicaSet              odh-dashboard-58fb784664
ReplicaSet              etcd-6cf7c58f89
ReplicaSet              odh-model-controller-75765669fc
Role                    servingruntimes-config-updater
Role                    leader-election-role
Role                    odh-dashboard
Role                    modelmesh-controller-restricted-scc-role
Role                    servingruntimes-config-updater
Role                    leader-election-role
Role                    modelmesh-controller-leader-election-role
Role                    modelmesh-controller-restricted-scc-role
Role                    odh-dashboard
Role                    modelmesh-controller-leader-election-role
RoleBinding             opendatahub
RoleBinding             servingruntimes-config-updater
RoleBinding             odh-dashboard
RoleBinding             modelmesh-controller-restricted-scc-rolebinding
RoleBinding             modelmesh-controller-leader-election-rolebinding
RoleBinding             leader-election-rolebinding
RoleBinding             cluster-image-pullers
RoleBinding             builds-and-images
RoleBinding             pipelines-scc-rolebinding
RoleBinding             prometheus-ns-access
RoleBinding             servingruntimes-config-updater
RoleBinding             system:deployers
RoleBinding             system:image-pullers
RoleBinding             system:image-builders
RoleBinding             system:deployers
RoleBinding             openshift-pipelines-edit
RoleBinding             prometheus-ns-access
RoleBinding             pipelines-scc-rolebinding
RoleBinding             openshift-pipelines-edit
RoleBinding             opendatahub
RoleBinding             odh-dashboard
RoleBinding             modelmesh-controller-restricted-scc-rolebinding
RoleBinding             modelmesh-controller-leader-election-rolebinding
RoleBinding             leader-election-rolebinding
RoleBinding             cluster-image-pullers
RoleBinding             builds-and-images
RoleBinding             system:image-builders
RoleBinding             system:image-pullers
Route                   odh-dashboard
Secret                  dashboard-oauth-config-generated
Secret                  model-serving-proxy-tls
Secret                  builder-dockercfg-vjfn4
Secret                  builder-token-vxblx
Secret                  dashboard-oauth-client
Secret                  dashboard-oauth-client-generated
Secret                  dashboard-oauth-config
Secret                  dashboard-proxy-tls
Secret                  default-dockercfg-gc8x4
Secret                  default-token-vjfz7
Secret                  deployer-dockercfg-w99qw
Secret                  pipeline-token-kgtwk
Secret                  pipeline-dockercfg-ptmjl
Secret                  odh-model-controller-token-rbwt8
Secret                  odh-model-controller-dockercfg-xpgw9
Secret                  odh-dashboard-token-dq9kt
Secret                  odh-dashboard-dockercfg-9twff
Secret                  modelmesh-token-r9lb5
Secret                  modelmesh-serving-sa-token-r6b84
Secret                  modelmesh-serving-sa-dockercfg-72vxm
Secret                  modelmesh-dockercfg-v952d
Secret                  modelmesh-controller-token-8zxsg
Secret                  modelmesh-controller-dockercfg-rg5rg
Secret                  deployer-token-n7tjb
Secret                  model-serving-etcd
Secret                  etcd-serviceaccount-token-4c9jp
Secret                  etcd-serviceaccount-dockercfg-ppf9r
Secret                  etcd-passwords
Service                 odh-model-controller-metrics-service
Service                 etcd
Service                 modelmesh-controller
Service                 modelmesh-serving
Service                 odh-dashboard
ServiceAccount          modelmesh-controller
ServiceAccount          builder
ServiceAccount          default
ServiceAccount          modelmesh
ServiceAccount          etcd-serviceaccount
ServiceAccount          deployer
ServiceAccount          modelmesh-serving-sa
ServiceAccount          odh-dashboard
ServiceAccount          odh-model-controller
ServiceAccount          pipeline
ServiceMonitor          controller-manager-metrics-monitor
ServiceMonitor          modelmesh-metrics-monitor
ServiceMonitor          odh-model-controller-metrics-monitor
Template                ovms
Template                ovms-gpu
