KIND                    NAME
ClusterServiceVersion   opendatahub-operator.v0.0.4
ClusterServiceVersion   openshift-pipelines-operator-rh.v1.11.0
ClusterServiceVersion   serverless-operator.v1.29.0
ConfigMap               modelmesh-controller-leader-lock
ConfigMap               dsg-prune-flag
ConfigMap               kube-root-ca.crt
ConfigMap               data-science-pipelines-operator-dspo-parameters-mm6cd5894m
ConfigMap               odh-common-config
ConfigMap               odh-enabled-applications-config
ConfigMap               openshift-service-ca.crt
ConfigMap               config-service-cabundle
ConfigMap               data-science-pipelines-operator-dspo-config-kk9dk74bk6
ConfigMap               config-trusted-cabundle
Deployment              data-science-pipelines-operator-controller-manager
Deployment              odh-dashboard
EndpointSlice           odh-dashboard-f2mkr
EndpointSlice           modelmesh-serving-v6lm7
EndpointSlice           data-science-pipelines-operator-service-2svtv
Endpoints               odh-dashboard
Endpoints               modelmesh-serving
Endpoints               data-science-pipelines-operator-service
Lease                   odh-model-controller
Lease                   modelmesh-controller-leader-lock
Lease                   f9eb95d5.opendatahub.io
NetworkPolicy           opendatahub
OdhApplication          jupyter
OdhApplication          jupyterhub
OdhDashboardConfig      odh-dashboard-config
OdhDocument             jupyterhub-view-installed-packages
OdhDocument             jupyterhub-install-python-packages
OdhDocument             jupyterhub-update-server-settings
OdhDocument             jupyterhub-use-s3-bucket-data
OdhQuickStart           deploy-python-model
OdhQuickStart           create-jupyter-notebook
Pod                     data-science-pipelines-operator-controller-manager-76fd964l48kv
Pod                     odh-dashboard-58fb784664-cv8mv
Pod                     odh-dashboard-58fb784664-gm2rm
PodMetrics              odh-dashboard-58fb784664-cv8mv
PodMetrics              odh-dashboard-58fb784664-gm2rm
ReplicaSet              odh-dashboard-58fb784664
ReplicaSet              data-science-pipelines-operator-controller-manager-76fd964b76
Role                    odh-dashboard
Role                    data-science-pipelines-operator-leader-election-role
Role                    odh-dashboard
Role                    data-science-pipelines-operator-leader-election-role
Role                    servingruntimes-config-updater
Role                    servingruntimes-config-updater
RoleBinding             opendatahub
RoleBinding             system:image-builders
RoleBinding             prometheus-ns-access
RoleBinding             openshift-pipelines-edit
RoleBinding             servingruntimes-config-updater
RoleBinding             system:deployers
RoleBinding             odh-dashboard
RoleBinding             data-science-pipelines-operator-leader-election-rolebinding
RoleBinding             cluster-image-pullers
RoleBinding             builds-and-images
RoleBinding             system:image-builders
RoleBinding             system:image-pullers
RoleBinding             system:image-pullers
RoleBinding             pipelines-scc-rolebinding
RoleBinding             system:deployers
RoleBinding             servingruntimes-config-updater
RoleBinding             prometheus-ns-access
RoleBinding             pipelines-scc-rolebinding
RoleBinding             openshift-pipelines-edit
RoleBinding             opendatahub
RoleBinding             odh-dashboard
RoleBinding             data-science-pipelines-operator-leader-election-rolebinding
RoleBinding             cluster-image-pullers
RoleBinding             builds-and-images
Route                   odh-dashboard
Secret                  dashboard-oauth-config
Secret                  data-science-pipelines-operator-contro-d9fbdd90-dockercfg-5tsxs
Secret                  builder-dockercfg-vjfn4
Secret                  builder-token-vxblx
Secret                  dashboard-oauth-client
Secret                  pipeline-token-kgtwk
Secret                  pipeline-dockercfg-ptmjl
Secret                  odh-dashboard-token-dq9kt
Secret                  odh-dashboard-dockercfg-9twff
Secret                  model-serving-proxy-tls
Secret                  model-serving-etcd
Secret                  etcd-passwords
Secret                  deployer-token-n7tjb
Secret                  deployer-dockercfg-w99qw
Secret                  default-token-vjfz7
Secret                  default-dockercfg-gc8x4
Secret                  data-science-pipelines-operator-controller-manager-token-c5cbl
Secret                  dashboard-oauth-client-generated
Secret                  dashboard-proxy-tls
Secret                  dashboard-oauth-config-generated
Service                 data-science-pipelines-operator-service
Service                 odh-dashboard
Service                 modelmesh-serving
ServiceAccount          deployer
ServiceAccount          odh-dashboard
ServiceAccount          pipeline
ServiceAccount          builder
ServiceAccount          default
ServiceAccount          data-science-pipelines-operator-controller-manager
ServiceMonitor          data-science-pipelines-operator-service-monitor
ServiceMonitor          modelmesh-metrics-monitor
Template                ovms
Template                ovms-gpu
