KIND                    NAME
ClusterServiceVersion   serverless-operator.v1.29.0
ClusterServiceVersion   opendatahub-operator.v0.0.4
ClusterServiceVersion   openshift-pipelines-operator-rh.v1.11.0
ConfigMap               modelmesh-controller-leader-lock
ConfigMap               config-service-cabundle
ConfigMap               notebook-controller-config
ConfigMap               notebooks-parameters
ConfigMap               odh-common-config
ConfigMap               odh-enabled-applications-config
ConfigMap               openshift-service-ca.crt
ConfigMap               kube-root-ca.crt
ConfigMap               dsg-prune-flag
ConfigMap               config-trusted-cabundle
Deployment              notebook-controller-deployment
Deployment              odh-dashboard
Deployment              odh-notebook-controller-manager
EndpointSlice           notebook-controller-service-lhndm
EndpointSlice           odh-dashboard-f2mkr
EndpointSlice           odh-notebook-controller-service-vc7p5
EndpointSlice           modelmesh-serving-v6lm7
EndpointSlice           odh-notebook-controller-webhook-service-x2mll
Endpoints               odh-notebook-controller-webhook-service
Endpoints               odh-notebook-controller-service
Endpoints               odh-dashboard
Endpoints               notebook-controller-service
Endpoints               modelmesh-serving
ImageStream             code-server-notebook
ImageStream             s2i-lab-elyra
ImageStream             rstudio-notebook
ImageStream             rstudio-gpu-notebook
ImageStream             jupyter-trustyai-notebook
ImageStream             jupyter-tensorflow-notebook
ImageStream             jupyter-pytorch-notebook
ImageStream             jupyter-minimal-notebook
ImageStream             jupyter-minimal-gpu-notebook
ImageStream             jupyter-datascience-notebook
ImageStreamTag          rstudio-gpu-notebook:2023.1
ImageStreamTag          jupyter-datascience-notebook:1.2
ImageStreamTag          code-server-notebook:2023.1
ImageStreamTag          jupyter-pytorch-notebook:1.2
ImageStreamTag          jupyter-tensorflow-notebook:1.2
ImageStreamTag          jupyter-tensorflow-notebook:2023.1
ImageStreamTag          jupyter-trustyai-notebook:2023.1
ImageStreamTag          jupyter-pytorch-notebook:2023.1
ImageStreamTag          rstudio-notebook:2023.1
ImageStreamTag          s2i-lab-elyra:v0.2.1
ImageStreamTag          jupyter-minimal-notebook:2023.1
ImageStreamTag          jupyter-minimal-notebook:1.2
ImageStreamTag          jupyter-minimal-gpu-notebook:2023.1
ImageStreamTag          jupyter-datascience-notebook:2023.1
ImageStreamTag          jupyter-minimal-gpu-notebook:1.2
ImageTag                rstudio-gpu-notebook:2023.1
ImageTag                jupyter-pytorch-notebook:2023.1
ImageTag                jupyter-pytorch-notebook:1.2
ImageTag                s2i-lab-elyra:v0.2.1
ImageTag                rstudio-notebook:2023.1
ImageTag                jupyter-trustyai-notebook:2023.1
ImageTag                jupyter-tensorflow-notebook:2023.1
ImageTag                jupyter-tensorflow-notebook:1.2
ImageTag                jupyter-minimal-notebook:2023.1
ImageTag                jupyter-minimal-notebook:1.2
ImageTag                jupyter-minimal-gpu-notebook:2023.1
ImageTag                code-server-notebook:2023.1
ImageTag                jupyter-datascience-notebook:1.2
ImageTag                jupyter-datascience-notebook:2023.1
ImageTag                jupyter-minimal-gpu-notebook:1.2
Lease                   f9eb95d5.opendatahub.io
Lease                   odh-model-controller
Lease                   modelmesh-controller-leader-lock
NetworkPolicy           opendatahub
OdhApplication          jupyterhub
OdhApplication          jupyter
OdhDashboardConfig      odh-dashboard-config
